,Date,State, Average Temperature,Anomaly
3087,201604,Indiana,52.0,-0.6
3088,201605,Indiana,60.6,-3.4
3089,201606,Indiana,72.9,0.9
3090,201607,Indiana,74.6,-0.3
3091,201608,Indiana,75.7,3.0
3092,201609,Indiana,69.9,2.6
3093,201610,Indiana,59.5,4.2
3094,201611,Indiana,47.0,5.6
3095,201612,Indiana,29.8,-3.9
3096,201701,Indiana,33.8,6.4
3097,201702,Indiana,41.3,10.7
3098,201703,Indiana,42.6,1.4
3099,201704,Indiana,57.0,4.4
3100,201705,Indiana,60.9,-3.1
3101,201706,Indiana,71.1,-0.9
3102,201707,Indiana,74.2,-0.7
3103,201708,Indiana,70.0,-2.7
3104,201709,Indiana,67.2,-0.1
3105,201710,Indiana,57.6,2.3
3106,201711,Indiana,42.4,1.0
3107,201712,Indiana,29.6,-4.1
3108,201801,Indiana,24.5,-2.9
3109,201802,Indiana,35.1,4.5
3110,201803,Indiana,38.2,-3.0
3111,201804,Indiana,45.1,-7.5
3112,201805,Indiana,69.7,5.7
3113,201806,Indiana,73.4,1.4
3114,201807,Indiana,74.1,-0.8
3115,201808,Indiana,74.0,1.3
3116,201809,Indiana,69.9,2.6
3117,201810,Indiana,54.9,-0.4
3118,201811,Indiana,36.8,-4.6
3119,201812,Indiana,35.4,1.7
3120,201901,Indiana,27.0,-0.4
3121,201902,Indiana,32.3,1.7
3122,201903,Indiana,37.2,-4.0
3123,201904,Indiana,52.2,-0.4
3124,201905,Indiana,62.6,-1.4
3125,201906,Indiana,69.9,-2.1
3126,201907,Indiana,76.3,1.4
3127,201908,Indiana,72.3,-0.4
3128,201909,Indiana,70.8,3.5
3129,201910,Indiana,55.5,0.2
3130,201911,Indiana,36.5,-4.9
3131,201912,Indiana,36.2,2.5
3253,201001,Iowa,13.6,-6.0
3254,201002,Iowa,17.3,-4.7
3255,201003,Iowa,38.4,1.7
3256,201004,Iowa,55.2,6.5
3257,201005,Iowa,59.9,-0.6
3258,201006,Iowa,70.8,0.1
3259,201007,Iowa,74.6,0.5
3260,201008,Iowa,74.4,3.3
3261,201009,Iowa,63.1,-2.0
3262,201010,Iowa,53.9,2.4
3263,201011,Iowa,38.0,1.4
3264,201012,Iowa,19.1,-6.8
3265,201101,Iowa,14.8,-4.8
3266,201102,Iowa,22.6,0.6
3267,201103,Iowa,35.1,-1.6
3268,201104,Iowa,47.6,-1.1
3269,201105,Iowa,59.1,-1.4
3270,201106,Iowa,69.6,-1.1
3271,201107,Iowa,78.0,3.9
3272,201108,Iowa,72.0,0.9
3273,201109,Iowa,60.2,-4.9
3274,201110,Iowa,53.4,1.9
3275,201111,Iowa,39.4,2.8
3276,201112,Iowa,29.1,3.2
3277,201201,Iowa,26.5,6.9
3278,201202,Iowa,29.6,7.6
3279,201203,Iowa,51.6,14.9
3280,201204,Iowa,52.4,3.7
3281,201205,Iowa,65.0,4.5
3282,201206,Iowa,71.4,0.7
3283,201207,Iowa,79.6,5.5
3284,201208,Iowa,71.0,-0.1
3285,201209,Iowa,62.1,-3.0
3286,201210,Iowa,48.8,-2.7
3287,201211,Iowa,39.2,2.6
3288,201212,Iowa,27.7,1.8
3289,201301,Iowa,22.0,2.4
3290,201302,Iowa,24.2,2.2
3291,201303,Iowa,29.0,-7.7
3292,201304,Iowa,43.8,-4.9
3293,201305,Iowa,59.0,-1.5
3294,201306,Iowa,68.9,-1.8
3295,201307,Iowa,72.3,-1.8
3296,201308,Iowa,71.9,0.8
3297,201309,Iowa,67.0,1.9
3298,201310,Iowa,50.5,-1.0
3299,201311,Iowa,33.9,-2.7
3300,201312,Iowa,17.4,-8.5
3301,201401,Iowa,14.2,-5.4
3302,201402,Iowa,13.2,-8.8
3303,201403,Iowa,29.7,-7.0
3304,201404,Iowa,47.5,-1.2
3305,201405,Iowa,60.0,-0.5
3306,201406,Iowa,70.2,-0.5
3307,201407,Iowa,68.8,-5.3
3308,201408,Iowa,71.2,0.1
3309,201409,Iowa,62.0,-3.1
3310,201410,Iowa,51.2,-0.3
3311,201411,Iowa,29.3,-7.3
3312,201412,Iowa,28.2,2.3
3313,201501,Iowa,21.6,2.0
3314,201502,Iowa,14.5,-7.5
3315,201503,Iowa,37.3,0.6
3316,201504,Iowa,51.1,2.4
3317,201505,Iowa,60.0,-0.5
3318,201506,Iowa,69.4,-1.3
3319,201507,Iowa,72.0,-2.1
3320,201508,Iowa,68.9,-2.2
3321,201509,Iowa,68.4,3.3
3322,201510,Iowa,53.0,1.5
3323,201511,Iowa,42.0,5.4
3324,201512,Iowa,33.0,7.1
3325,201601,Iowa,19.6,0.0
3326,201602,Iowa,28.6,6.6
3327,201603,Iowa,42.4,5.7
3328,201604,Iowa,50.1,1.4
3329,201605,Iowa,59.5,-1.0
3330,201606,Iowa,73.0,2.3
3331,201607,Iowa,72.8,-1.3
3332,201608,Iowa,72.0,0.9
3333,201609,Iowa,67.3,2.2
3334,201610,Iowa,55.3,3.8
3335,201611,Iowa,45.1,8.5
3336,201612,Iowa,22.9,-3.0
3337,201701,Iowa,24.2,4.6
3338,201702,Iowa,34.5,12.5
3339,201703,Iowa,37.5,0.8
3340,201704,Iowa,51.1,2.4
3341,201705,Iowa,58.5,-2.0
3342,201706,Iowa,71.1,0.4
3343,201707,Iowa,74.7,0.6
3344,201708,Iowa,67.8,-3.3
3345,201709,Iowa,66.7,1.6
3346,201710,Iowa,53.3,1.8
3347,201711,Iowa,36.2,-0.4
3348,201712,Iowa,24.4,-1.5
3349,201801,Iowa,17.8,-1.8
3350,201802,Iowa,20.5,-1.5
3351,201803,Iowa,35.2,-1.5
3352,201804,Iowa,39.3,-9.4
3353,201805,Iowa,67.0,6.5
3354,201806,Iowa,73.1,2.4
3355,201807,Iowa,73.1,-1.0
3356,201808,Iowa,71.8,0.7
3357,201809,Iowa,65.9,0.8
3358,201810,Iowa,48.2,-3.3
3359,201811,Iowa,30.0,-6.6
3360,201812,Iowa,28.0,2.1
3361,201901,Iowa,18.7,-0.9
3362,201902,Iowa,15.3,-6.7
3363,201903,Iowa,31.1,-5.6
3364,201904,Iowa,49.2,0.5
3365,201905,Iowa,56.6,-3.9
3366,201906,Iowa,69.3,-1.4
3367,201907,Iowa,75.1,1.0
3368,201908,Iowa,69.6,-1.5
3369,201909,Iowa,68.2,3.1
3370,201910,Iowa,47.1,-4.4
3371,201911,Iowa,32.4,-4.2
3372,201912,Iowa,29.2,3.3
3494,201001,Kansas,27.2,-4.1
3495,201002,Kansas,29.9,-3.5
3496,201003,Kansas,44.2,-1.3
3497,201004,Kansas,57.8,3.2
3498,201005,Kansas,62.1,-1.8
3499,201006,Kansas,77.0,1.1
3500,201007,Kansas,79.6,-0.2
3501,201008,Kansas,79.7,2.8
3502,201009,Kansas,70.8,0.2
3503,201010,Kansas,59.1,2.3
3504,201011,Kansas,43.6,0.2
3505,201012,Kansas,32.3,-1.3
3506,201101,Kansas,27.3,-4.0
3507,201102,Kansas,30.2,-3.2
3508,201103,Kansas,44.1,-1.4
3509,201104,Kansas,55.2,0.6
3510,201105,Kansas,62.6,-1.3
3511,201106,Kansas,76.8,0.9
3512,201107,Kansas,84.9,5.1
3513,201108,Kansas,80.9,4.0
3514,201109,Kansas,66.2,-4.4
3515,201110,Kansas,57.5,0.7
3516,201111,Kansas,43.7,0.3
3517,201112,Kansas,33.1,-0.5
3518,201201,Kansas,36.1,4.8
3519,201202,Kansas,37.1,3.7
3520,201203,Kansas,55.5,10.0
3521,201204,Kansas,59.2,4.6
3522,201205,Kansas,69.0,5.1
3523,201206,Kansas,77.5,1.6
3524,201207,Kansas,84.4,4.6
3525,201208,Kansas,76.5,-0.4
3526,201209,Kansas,68.2,-2.4
3527,201210,Kansas,54.0,-2.8
3528,201211,Kansas,46.5,3.1
3529,201212,Kansas,34.6,1.0
3530,201301,Kansas,32.3,1.0
3531,201302,Kansas,33.6,0.2
3532,201303,Kansas,40.3,-5.2
3533,201304,Kansas,48.4,-6.2
3534,201305,Kansas,63.3,-0.6
3535,201306,Kansas,75.2,-0.7
3536,201307,Kansas,77.2,-2.6
3537,201308,Kansas,76.5,-0.4
3538,201309,Kansas,72.1,1.5
3539,201310,Kansas,55.2,-1.6
3540,201311,Kansas,41.3,-2.1
3541,201312,Kansas,29.2,-4.4
3542,201401,Kansas,29.6,-1.7
3543,201402,Kansas,27.8,-5.6
3544,201403,Kansas,40.6,-4.9
3545,201404,Kansas,54.0,-0.6
3546,201405,Kansas,64.7,0.8
3547,201406,Kansas,73.6,-2.3
3548,201407,Kansas,75.4,-4.4
3549,201408,Kansas,78.3,1.4
3550,201409,Kansas,68.2,-2.4
3551,201410,Kansas,58.9,2.1
3552,201411,Kansas,38.5,-4.9
3553,201412,Kansas,34.6,1.0
3554,201501,Kansas,32.1,0.8
3555,201502,Kansas,31.2,-2.2
3556,201503,Kansas,46.8,1.3
3557,201504,Kansas,56.4,1.8
3558,201505,Kansas,61.7,-2.2
3559,201506,Kansas,75.8,-0.1
3560,201507,Kansas,78.9,-0.9
3561,201508,Kansas,75.2,-1.7
3562,201509,Kansas,74.2,3.6
3563,201510,Kansas,59.2,2.4
3564,201511,Kansas,46.5,3.1
3565,201512,Kansas,37.6,4.0
3566,201601,Kansas,32.0,0.7
3567,201602,Kansas,40.8,7.4
3568,201603,Kansas,49.7,4.2
3569,201604,Kansas,56.3,1.7
3570,201605,Kansas,61.6,-2.3
3571,201606,Kansas,77.5,1.6
3572,201607,Kansas,79.7,-0.1
3573,201608,Kansas,76.4,-0.5
3574,201609,Kansas,70.8,0.2
3575,201610,Kansas,61.5,4.7
3576,201611,Kansas,49.9,6.5
3577,201612,Kansas,29.8,-3.8
3578,201701,Kansas,33.0,1.7
3579,201702,Kansas,43.1,9.7
3580,201703,Kansas,48.9,3.4
3581,201704,Kansas,55.6,1.0
3582,201705,Kansas,62.2,-1.7
3583,201706,Kansas,75.1,-0.8
3584,201707,Kansas,80.1,0.3
3585,201708,Kansas,73.1,-3.8
3586,201709,Kansas,70.5,-0.1
3587,201710,Kansas,57.6,0.8
3588,201711,Kansas,45.2,1.8
3589,201712,Kansas,33.6,0.0
3590,201801,Kansas,29.9,-1.4
3591,201802,Kansas,31.9,-1.5
3592,201803,Kansas,45.9,0.4
3593,201804,Kansas,47.6,-7.0
3594,201805,Kansas,71.1,7.2
3595,201806,Kansas,78.2,2.3
3596,201807,Kansas,78.7,-1.1
3597,201808,Kansas,75.7,-1.2
3598,201809,Kansas,70.1,-0.5
3599,201810,Kansas,53.6,-3.2
3600,201811,Kansas,38.2,-5.2
3601,201812,Kansas,34.3,0.7
3602,201901,Kansas,31.3,0.0
3603,201902,Kansas,27.9,-5.5
3604,201903,Kansas,39.4,-6.1
3605,201904,Kansas,55.4,0.8
3606,201905,Kansas,60.5,-3.4
3607,201906,Kansas,72.4,-3.5
3608,201907,Kansas,78.6,-1.2
3609,201908,Kansas,77.1,0.2
3610,201909,Kansas,75.2,4.6
3611,201910,Kansas,51.1,-5.7
3612,201911,Kansas,40.2,-3.2
3613,201912,Kansas,36.7,3.1
3735,201001,Kentucky,29.8,-4.0
3736,201002,Kentucky,30.6,-7.3
3737,201003,Kentucky,46.5,0.0
3738,201004,Kentucky,59.9,2.6
3739,201005,Kentucky,67.3,0.6
3740,201006,Kentucky,77.0,3.1
3741,201007,Kentucky,78.4,1.4
3742,201008,Kentucky,78.3,3.0
3743,201009,Kentucky,70.0,0.0
3744,201010,Kentucky,58.2,-0.1
3745,201011,Kentucky,47.1,1.7
3746,201012,Kentucky,29.0,-10.4
3747,201101,Kentucky,30.2,-3.6
3748,201102,Kentucky,39.1,1.2
3749,201103,Kentucky,47.9,1.4
3750,201104,Kentucky,58.8,1.5
3751,201105,Kentucky,64.2,-2.5
3752,201106,Kentucky,74.2,0.3
3753,201107,Kentucky,79.5,2.5
3754,201108,Kentucky,75.8,0.5
3755,201109,Kentucky,66.9,-3.1
3756,201110,Kentucky,55.6,-2.7
3757,201111,Kentucky,49.9,4.5
3758,201112,Kentucky,41.0,1.6
3759,201201,Kentucky,38.7,4.9
3760,201202,Kentucky,41.2,3.3
3761,201203,Kentucky,58.0,11.5
3762,201204,Kentucky,57.3,0.0
3763,201205,Kentucky,69.4,2.7
3764,201206,Kentucky,72.5,-1.4
3765,201207,Kentucky,80.5,3.5
3766,201208,Kentucky,74.6,-0.7
3767,201209,Kentucky,67.3,-2.7
3768,201210,Kentucky,55.2,-3.1
3769,201211,Kentucky,43.2,-2.2
3770,201212,Kentucky,43.0,3.6
3771,201301,Kentucky,36.7,2.9
3772,201302,Kentucky,36.8,-1.1
3773,201303,Kentucky,39.4,-7.1
3774,201304,Kentucky,55.2,-2.1
3775,201305,Kentucky,64.9,-1.8
3776,201306,Kentucky,72.9,-1.0
3777,201307,Kentucky,74.0,-3.0
3778,201308,Kentucky,73.7,-1.6
3779,201309,Kentucky,69.1,-0.9
3780,201310,Kentucky,57.6,-0.7
3781,201311,Kentucky,42.8,-2.6
3782,201312,Kentucky,37.4,-2.0
3783,201401,Kentucky,26.8,-7.0
3784,201402,Kentucky,33.2,-4.7
3785,201403,Kentucky,41.5,-5.0
3786,201404,Kentucky,57.4,0.1
3787,201405,Kentucky,66.1,-0.6
3788,201406,Kentucky,74.1,0.2
3789,201407,Kentucky,72.6,-4.4
3790,201408,Kentucky,75.1,-0.2
3791,201409,Kentucky,68.2,-1.8
3792,201410,Kentucky,57.6,-0.7
3793,201411,Kentucky,39.8,-5.6
3794,201412,Kentucky,39.7,0.3
3795,201501,Kentucky,32.2,-1.6
3796,201502,Kentucky,26.3,-11.6
3797,201503,Kentucky,44.5,-2.0
3798,201504,Kentucky,57.4,0.1
3799,201505,Kentucky,67.3,0.6
3800,201506,Kentucky,74.2,0.3
3801,201507,Kentucky,76.5,-0.5
3802,201508,Kentucky,72.8,-2.5
3803,201509,Kentucky,70.2,0.2
3804,201510,Kentucky,57.8,-0.5
3805,201511,Kentucky,50.9,5.5
3806,201512,Kentucky,48.7,9.3
3807,201601,Kentucky,31.6,-2.2
3808,201602,Kentucky,38.9,1.0
3809,201603,Kentucky,51.8,5.3
3810,201604,Kentucky,57.3,0.0
3811,201605,Kentucky,62.9,-3.8
3812,201606,Kentucky,74.9,1.0
3813,201607,Kentucky,77.9,0.9
3814,201608,Kentucky,78.0,2.7
3815,201609,Kentucky,72.2,2.2
3816,201610,Kentucky,62.7,4.4
3817,201611,Kentucky,49.9,4.5
3818,201612,Kentucky,37.0,-2.4
3819,201701,Kentucky,40.9,7.1
3820,201702,Kentucky,46.2,8.3
3821,201703,Kentucky,47.9,1.4
3822,201704,Kentucky,61.5,4.2
3823,201705,Kentucky,65.0,-1.7
3824,201706,Kentucky,71.7,-2.2
3825,201707,Kentucky,76.9,-0.1
3826,201708,Kentucky,73.1,-2.2
3827,201709,Kentucky,68.3,-1.7
3828,201710,Kentucky,59.4,1.1
3829,201711,Kentucky,47.1,1.7
3830,201712,Kentucky,35.8,-3.6
3831,201801,Kentucky,30.0,-3.8
3832,201802,Kentucky,44.6,6.7
3833,201803,Kentucky,44.1,-2.4
3834,201804,Kentucky,50.7,-6.6
3835,201805,Kentucky,71.8,5.1
3836,201806,Kentucky,75.5,1.6
3837,201807,Kentucky,76.6,-0.4
3838,201808,Kentucky,75.8,0.5
3839,201809,Kentucky,73.1,3.1
3840,201810,Kentucky,58.9,0.6
3841,201811,Kentucky,41.9,-3.5
3842,201812,Kentucky,40.5,1.1
3843,201901,Kentucky,35.1,1.3
3844,201902,Kentucky,42.3,4.4
3845,201903,Kentucky,43.1,-3.4
3846,201904,Kentucky,57.8,0.5
3847,201905,Kentucky,68.4,1.7
3848,201906,Kentucky,71.9,-2.0
3849,201907,Kentucky,77.4,0.4
3850,201908,Kentucky,75.6,0.3
3851,201909,Kentucky,74.8,4.8
3852,201910,Kentucky,60.0,1.7
3853,201911,Kentucky,41.2,-4.2
3854,201912,Kentucky,42.1,2.7
3976,201001,Louisiana,45.6,-3.9
3977,201002,Louisiana,44.8,-9.2
3978,201003,Louisiana,55.1,-5.3
3979,201004,Louisiana,67.6,0.3
3980,201005,Louisiana,77.3,2.8
3981,201006,Louisiana,83.5,2.4
3982,201007,Louisiana,83.4,0.8
3983,201008,Louisiana,85.0,2.1
3984,201009,Louisiana,79.8,0.9
3985,201010,Louisiana,68.3,-0.4
3986,201011,Louisiana,59.0,1.0
3987,201012,Louisiana,48.1,-4.8
3988,201101,Louisiana,46.9,-2.6
3989,201102,Louisiana,52.5,-1.5
3990,201103,Louisiana,62.0,1.6
3991,201104,Louisiana,70.4,3.1
3992,201105,Louisiana,73.7,-0.8
3993,201106,Louisiana,83.8,2.7
3994,201107,Louisiana,84.1,1.5
3995,201108,Louisiana,86.7,3.8
3996,201109,Louisiana,76.0,-2.9
3997,201110,Louisiana,65.5,-3.2
3998,201111,Louisiana,59.7,1.7
3999,201112,Louisiana,51.3,-1.6
4000,201201,Louisiana,55.2,5.7
4001,201202,Louisiana,56.1,2.1
4002,201203,Louisiana,67.4,7.0
4003,201204,Louisiana,69.4,2.1
4004,201205,Louisiana,76.3,1.8
4005,201206,Louisiana,80.7,-0.4
4006,201207,Louisiana,82.3,-0.3
4007,201208,Louisiana,82.0,-0.9
4008,201209,Louisiana,77.4,-1.5
4009,201210,Louisiana,65.8,-2.9
4010,201211,Louisiana,57.0,-1.0
4011,201212,Louisiana,55.0,2.1
4012,201301,Louisiana,52.5,3.0
4013,201302,Louisiana,54.2,0.2
4014,201303,Louisiana,55.3,-5.1
4015,201304,Louisiana,64.6,-2.7
4016,201305,Louisiana,71.7,-2.8
4017,201306,Louisiana,80.9,-0.2
4018,201307,Louisiana,80.7,-1.9
4019,201308,Louisiana,82.0,-0.9
4020,201309,Louisiana,79.9,1.0
4021,201310,Louisiana,68.6,-0.1
4022,201311,Louisiana,55.0,-3.0
4023,201312,Louisiana,49.6,-3.3
4024,201401,Louisiana,43.4,-6.1
4025,201402,Louisiana,50.2,-3.8
4026,201403,Louisiana,55.0,-5.4
4027,201404,Louisiana,65.5,-1.8
4028,201405,Louisiana,71.8,-2.7
4029,201406,Louisiana,79.8,-1.3
4030,201407,Louisiana,80.0,-2.6
4031,201408,Louisiana,81.3,-1.6
4032,201409,Louisiana,78.1,-0.8
4033,201410,Louisiana,69.0,0.3
4034,201411,Louisiana,53.1,-4.9
4035,201412,Louisiana,53.7,0.8
4036,201501,Louisiana,47.2,-2.3
4037,201502,Louisiana,47.5,-6.5
4038,201503,Louisiana,60.5,0.1
4039,201504,Louisiana,69.8,2.5
4040,201505,Louisiana,74.8,0.3
4041,201506,Louisiana,80.5,-0.6
4042,201507,Louisiana,84.2,1.6
4043,201508,Louisiana,82.6,-0.3
4044,201509,Louisiana,78.5,-0.4
4045,201510,Louisiana,69.7,1.0
4046,201511,Louisiana,62.7,4.7
4047,201512,Louisiana,59.1,6.2
4048,201601,Louisiana,48.8,-0.7
4049,201602,Louisiana,55.1,1.1
4050,201603,Louisiana,63.8,3.4
4051,201604,Louisiana,68.2,0.9
4052,201605,Louisiana,73.3,-1.2
4053,201606,Louisiana,80.9,-0.2
4054,201607,Louisiana,83.7,1.1
4055,201608,Louisiana,82.4,-0.5
4056,201609,Louisiana,80.2,1.3
4057,201610,Louisiana,71.4,2.7
4058,201611,Louisiana,62.4,4.4
4059,201612,Louisiana,54.7,1.8
4060,201701,Louisiana,56.8,7.3
4061,201702,Louisiana,61.7,7.7
4062,201703,Louisiana,64.4,4.0
4063,201704,Louisiana,69.4,2.1
4064,201705,Louisiana,71.8,-2.7
4065,201706,Louisiana,78.5,-2.6
4066,201707,Louisiana,82.4,-0.2
4067,201708,Louisiana,81.0,-1.9
4068,201709,Louisiana,77.0,-1.9
4069,201710,Louisiana,69.2,0.5
4070,201711,Louisiana,61.6,3.6
4071,201712,Louisiana,50.8,-2.1
4072,201801,Louisiana,44.2,-5.3
4073,201802,Louisiana,60.5,6.5
4074,201803,Louisiana,62.2,1.8
4075,201804,Louisiana,62.7,-4.6
4076,201805,Louisiana,77.8,3.3
4077,201806,Louisiana,82.1,1.0
4078,201807,Louisiana,83.5,0.9
4079,201808,Louisiana,82.0,-0.9
4080,201809,Louisiana,80.2,1.3
4081,201810,Louisiana,70.7,2.0
4082,201811,Louisiana,54.8,-3.2
4083,201812,Louisiana,52.6,-0.3
4084,201901,Louisiana,49.9,0.4
4085,201902,Louisiana,57.6,3.6
4086,201903,Louisiana,58.2,-2.2
4087,201904,Louisiana,65.2,-2.1
4088,201905,Louisiana,76.0,1.5
4089,201906,Louisiana,80.2,-0.9
4090,201907,Louisiana,81.8,-0.8
4091,201908,Louisiana,83.5,0.6
4092,201909,Louisiana,82.2,3.3
4093,201910,Louisiana,69.1,0.4
4094,201911,Louisiana,54.7,-3.3
4095,201912,Louisiana,54.1,1.2
4217,201001,Maine,20.3,3.2
4218,201002,Maine,24.6,6.1
4219,201003,Maine,34.6,7.5
4220,201004,Maine,44.9,5.3
4221,201005,Maine,54.6,2.1
4222,201006,Maine,60.8,0.7
4223,201007,Maine,69.2,1.8
4224,201008,Maine,65.2,-0.3
4225,201009,Maine,58.3,0.1
4226,201010,Maine,45.2,-1.5
4227,201011,Maine,34.5,1.0
4228,201012,Maine,23.4,0.6
4229,201101,Maine,15.9,-1.2
4230,201102,Maine,16.2,-2.3
4231,201103,Maine,26.8,-0.3
4232,201104,Maine,39.0,-0.6
4233,201105,Maine,51.9,-0.6
4234,201106,Maine,60.2,0.1
4235,201107,Maine,67.6,0.2
4236,201108,Maine,64.8,-0.7
4237,201109,Maine,59.0,0.8
4238,201110,Maine,47.6,0.9
4239,201111,Maine,38.8,5.3
4240,201112,Maine,26.0,3.2
4241,201201,Maine,18.2,1.1
4242,201202,Maine,21.4,2.9
4243,201203,Maine,34.3,7.2
4244,201204,Maine,42.2,2.6
4245,201205,Maine,53.8,1.3
4246,201206,Maine,60.2,0.1
4247,201207,Maine,67.6,0.2
4248,201208,Maine,67.4,1.9
4249,201209,Maine,55.9,-2.3
4250,201210,Maine,48.2,1.5
4251,201211,Maine,32.7,-0.8
4252,201212,Maine,24.4,1.6
4253,201301,Maine,15.8,-1.3
4254,201302,Maine,20.0,1.5
4255,201303,Maine,30.3,3.2
4256,201304,Maine,39.1,-0.5
4257,201305,Maine,52.3,-0.2
4258,201306,Maine,60.8,0.7
4259,201307,Maine,68.3,0.9
4260,201308,Maine,63.7,-1.8
4261,201309,Maine,56.7,-1.5
4262,201310,Maine,47.3,0.6
4263,201311,Maine,32.3,-1.2
4264,201312,Maine,17.0,-5.8
4265,201401,Maine,14.2,-2.9
4266,201402,Maine,15.7,-2.8
4267,201403,Maine,18.1,-9.0
4268,201404,Maine,38.7,-0.9
4269,201405,Maine,51.7,-0.8
4270,201406,Maine,61.6,1.5
4271,201407,Maine,67.2,-0.2
4272,201408,Maine,64.4,-1.1
4273,201409,Maine,56.4,-1.8
4274,201410,Maine,48.5,1.8
4275,201411,Maine,31.8,-1.7
4276,201412,Maine,26.0,3.2
4277,201501,Maine,11.7,-5.4
4278,201502,Maine,5.2,-13.3
4279,201503,Maine,21.6,-5.5
4280,201504,Maine,37.8,-1.8
4281,201505,Maine,55.7,3.2
4282,201506,Maine,57.5,-2.6
4283,201507,Maine,64.8,-2.6
4284,201508,Maine,67.2,1.7
4285,201509,Maine,61.8,3.6
4286,201510,Maine,43.2,-3.5
4287,201511,Maine,37.0,3.5
4288,201512,Maine,31.2,8.4
4289,201601,Maine,20.1,3.0
4290,201602,Maine,21.9,3.4
4291,201603,Maine,29.2,2.1
4292,201604,Maine,37.3,-2.3
4293,201605,Maine,52.8,0.3
4294,201606,Maine,60.5,0.4
4295,201607,Maine,67.0,-0.4
4296,201608,Maine,66.6,1.1
4297,201609,Maine,59.1,0.9
4298,201610,Maine,46.9,0.2
4299,201611,Maine,37.2,3.7
4300,201612,Maine,20.5,-2.3
4301,201701,Maine,21.5,4.4
4302,201702,Maine,20.6,2.1
4303,201703,Maine,22.2,-4.9
4304,201704,Maine,42.0,2.4
4305,201705,Maine,50.7,-1.8
4306,201706,Maine,61.0,0.9
4307,201707,Maine,65.2,-2.2
4308,201708,Maine,63.3,-2.2
4309,201709,Maine,61.1,2.9
4310,201710,Maine,52.0,5.3
4311,201711,Maine,32.4,-1.1
4312,201712,Maine,16.4,-6.4
4313,201801,Maine,15.0,-2.1
4314,201802,Maine,22.7,4.2
4315,201803,Maine,28.9,1.8
4316,201804,Maine,36.5,-3.1
4317,201805,Maine,53.5,1.0
4318,201806,Maine,59.0,-1.1
4319,201807,Maine,68.8,1.4
4320,201808,Maine,68.0,2.5
4321,201809,Maine,57.9,-0.3
4322,201810,Maine,41.9,-4.8
4323,201811,Maine,28.6,-4.9
4324,201812,Maine,20.4,-2.4
4325,201901,Maine,14.1,-3.0
4326,201902,Maine,16.3,-2.2
4327,201903,Maine,24.7,-2.4
4328,201904,Maine,38.8,-0.8
4329,201905,Maine,48.1,-4.4
4330,201906,Maine,59.5,-0.6
4331,201907,Maine,68.3,0.9
4332,201908,Maine,64.5,-1.0
4333,201909,Maine,55.3,-2.9
4334,201910,Maine,46.1,-0.6
4335,201911,Maine,29.6,-3.9
4336,201912,Maine,22.8,0.0
4458,201001,Maryland,32.2,-1.3
4459,201002,Maryland,30.8,-5.3
4460,201003,Maryland,47.4,3.9
4461,201004,Maryland,57.5,2.4
4462,201005,Maryland,65.7,0.4
4463,201006,Maryland,76.2,3.3
4464,201007,Maryland,79.1,1.3
4465,201008,Maryland,76.4,1.5
4466,201009,Maryland,70.2,0.6
4467,201010,Maryland,57.8,-0.5
4468,201011,Maryland,46.1,0.7
4469,201012,Maryland,30.8,-8.5
4470,201101,Maryland,29.6,-3.9
4471,201102,Maryland,37.6,1.5
4472,201103,Maryland,43.7,0.2
4473,201104,Maryland,56.7,1.6
4474,201105,Maryland,65.8,0.5
4475,201106,Maryland,74.0,1.1
4476,201107,Maryland,79.6,1.8
4477,201108,Maryland,75.1,0.2
4478,201109,Maryland,69.0,-0.6
4479,201110,Maryland,55.9,-2.4
4480,201111,Maryland,49.5,4.1
4481,201112,Maryland,41.8,2.5
4482,201201,Maryland,37.4,3.9
4483,201202,Maryland,40.5,4.4
4484,201203,Maryland,52.7,9.2
4485,201204,Maryland,54.2,-0.9
4486,201205,Maryland,67.7,2.4
4487,201206,Maryland,71.7,-1.2
4488,201207,Maryland,79.8,2.0
4489,201208,Maryland,75.8,0.9
4490,201209,Maryland,67.8,-1.8
4491,201210,Maryland,57.5,-0.8
4492,201211,Maryland,42.6,-2.8
4493,201212,Maryland,42.2,2.9
4494,201301,Maryland,36.3,2.8
4495,201302,Maryland,34.5,-1.6
4496,201303,Maryland,39.7,-3.8
4497,201304,Maryland,54.4,-0.7
4498,201305,Maryland,62.8,-2.5
4499,201306,Maryland,72.7,-0.2
4500,201307,Maryland,77.8,0.0
4501,201308,Maryland,72.4,-2.5
4502,201309,Maryland,66.0,-3.6
4503,201310,Maryland,58.1,-0.2
4504,201311,Maryland,43.3,-2.1
4505,201312,Maryland,38.6,-0.7
4506,201401,Maryland,27.8,-5.7
4507,201402,Maryland,32.8,-3.3
4508,201403,Maryland,38.2,-5.3
4509,201404,Maryland,52.7,-2.4
4510,201405,Maryland,64.2,-1.1
4511,201406,Maryland,72.3,-0.6
4512,201407,Maryland,74.7,-3.1
4513,201408,Maryland,71.7,-3.2
4514,201409,Maryland,68.0,-1.6
4515,201410,Maryland,58.2,-0.1
4516,201411,Maryland,42.7,-2.7
4517,201412,Maryland,39.6,0.3
4518,201501,Maryland,30.7,-2.8
4519,201502,Maryland,25.3,-10.8
4520,201503,Maryland,39.4,-4.1
4521,201504,Maryland,54.0,-1.1
4522,201505,Maryland,67.6,2.3
