,Date,State, Average Temperature,Anomaly
391,201207,Alaska,52.0,-2.4
392,201208,Alaska,49.9,-0.9
393,201209,Alaska,40.6,-1.4
394,201210,Alaska,25.5,-4.3
395,201211,Alaska,6.0,-8.6
396,201212,Alaska,-0.8,-8.6
397,201301,Alaska,9.8,4.3
398,201302,Alaska,6.3,-4.4
399,201303,Alaska,11.0,-2.5
400,201304,Alaska,16.7,-10.1
401,201305,Alaska,35.2,-5.6
402,201306,Alaska,53.9,2.8
403,201307,Alaska,55.0,0.6
404,201308,Alaska,51.4,0.6
405,201309,Alaska,39.6,-2.4
406,201310,Alaska,34.0,4.2
407,201311,Alaska,13.7,-0.9
408,201312,Alaska,7.0,-0.8
409,201401,Alaska,18.4,12.9
410,201402,Alaska,6.7,-4.0
411,201403,Alaska,14.1,0.6
412,201404,Alaska,27.4,0.6
413,201405,Alaska,41.9,1.1
414,201406,Alaska,48.1,-3.0
415,201407,Alaska,52.7,-1.7
416,201408,Alaska,52.0,1.2
417,201409,Alaska,42.3,0.3
418,201410,Alaska,25.8,-4.0
419,201411,Alaska,19.6,5.0
420,201412,Alaska,15.0,7.2
421,201501,Alaska,7.1,1.6
422,201502,Alaska,12.6,1.9
423,201503,Alaska,15.9,2.4
424,201504,Alaska,28.2,1.4
425,201505,Alaska,44.8,4.0
426,201506,Alaska,52.3,1.2
427,201507,Alaska,54.2,-0.2
428,201508,Alaska,49.3,-1.5
429,201509,Alaska,38.9,-3.1
430,201510,Alaska,31.6,1.8
431,201511,Alaska,17.2,2.6
432,201512,Alaska,8.3,0.5
433,201601,Alaska,17.2,11.7
434,201602,Alaska,17.3,6.6
435,201603,Alaska,18.7,5.2
436,201604,Alaska,33.3,6.5
437,201605,Alaska,44.0,3.2
438,201606,Alaska,51.8,0.7
439,201607,Alaska,55.6,1.2
440,201608,Alaska,53.2,2.4
441,201609,Alaska,42.3,0.3
442,201610,Alaska,29.7,-0.1
443,201611,Alaska,13.3,-1.3
444,201612,Alaska,6.2,-1.6
445,201701,Alaska,4.5,-1.0
446,201702,Alaska,6.6,-4.1
447,201703,Alaska,4.9,-8.6
448,201704,Alaska,29.6,2.8
449,201705,Alaska,40.8,0.0
450,201706,Alaska,51.4,0.3
451,201707,Alaska,56.2,1.8
452,201708,Alaska,50.2,-0.6
453,201709,Alaska,42.6,0.6
454,201710,Alaska,30.2,0.4
455,201711,Alaska,15.8,1.2
456,201712,Alaska,19.1,11.3
457,201801,Alaska,6.7,1.2
458,201802,Alaska,12.6,1.9
459,201803,Alaska,18.0,4.5
460,201804,Alaska,26.8,0.0
461,201805,Alaska,39.4,-1.4
462,201806,Alaska,50.0,-1.1
463,201807,Alaska,55.6,1.2
464,201808,Alaska,49.6,-1.2
465,201809,Alaska,44.3,2.3
466,201810,Alaska,33.8,4.0
467,201811,Alaska,19.1,4.5
468,201812,Alaska,9.1,1.3
469,201901,Alaska,7.5,2.0
470,201902,Alaska,15.5,4.8
471,201903,Alaska,26.5,13.0
472,201904,Alaska,28.5,1.7
473,201905,Alaska,43.0,2.2
474,201906,Alaska,54.0,2.9
475,201907,Alaska,58.1,3.7
476,201908,Alaska,51.5,0.7
477,201909,Alaska,44.4,2.4
478,201910,Alaska,30.8,1.0
479,201911,Alaska,19.8,5.2
480,201912,Alaska,6.7,-1.1
602,201001,Arizona,42.2,-1.2
603,201002,Arizona,44.3,-2.0
604,201003,Arizona,49.2,-4.3
605,201004,Arizona,56.1,-3.3
606,201005,Arizona,63.1,-2.2
607,201006,Arizona,75.9,-2.1
608,201007,Arizona,81.8,0.6
609,201008,Arizona,79.0,-0.6
610,201009,Arizona,75.4,1.5
611,201010,Arizona,62.7,-0.2
612,201011,Arizona,48.3,-3.2
613,201012,Arizona,46.7,3.5
614,201101,Arizona,41.5,-1.9
615,201102,Arizona,41.7,-4.6
616,201103,Arizona,53.3,-0.2
617,201104,Arizona,58.9,-0.5
618,201105,Arizona,63.2,-2.1
619,201106,Arizona,75.7,-2.3
620,201107,Arizona,80.8,-0.4
621,201108,Arizona,82.2,2.6
622,201109,Arizona,74.6,0.7
623,201110,Arizona,62.8,-0.1
624,201111,Arizona,49.4,-2.1
625,201112,Arizona,39.9,-3.3
626,201201,Arizona,45.3,1.9
627,201202,Arizona,45.6,-0.7
628,201203,Arizona,51.6,-1.9
629,201204,Arizona,60.6,1.2
630,201205,Arizona,69.3,4.0
631,201206,Arizona,78.7,0.7
632,201207,Arizona,80.0,-1.2
633,201208,Arizona,80.5,0.9
634,201209,Arizona,73.7,-0.2
635,201210,Arizona,63.8,0.9
636,201211,Arizona,53.8,2.3
637,201212,Arizona,42.4,-0.8
638,201301,Arizona,38.6,-4.8
639,201302,Arizona,42.2,-4.1
640,201303,Arizona,54.8,1.3
641,201304,Arizona,59.4,0.0
642,201305,Arizona,67.4,2.1
643,201306,Arizona,79.5,1.5
644,201307,Arizona,81.0,-0.2
645,201308,Arizona,78.5,-1.1
646,201309,Arizona,72.4,-1.5
647,201310,Arizona,58.8,-4.1
648,201311,Arizona,51.3,-0.2
649,201312,Arizona,41.5,-1.7
650,201401,Arizona,46.5,3.1
651,201402,Arizona,50.0,3.7
652,201403,Arizona,53.9,0.4
653,201404,Arizona,59.1,-0.3
654,201405,Arizona,66.8,1.5
655,201406,Arizona,77.7,-0.3
656,201407,Arizona,81.4,0.2
657,201408,Arizona,76.5,-3.1
658,201409,Arizona,74.2,0.3
659,201410,Arizona,64.9,2.0
660,201411,Arizona,51.7,0.2
661,201412,Arizona,44.3,1.1
662,201501,Arizona,45.1,1.7
663,201502,Arizona,52.0,5.7
664,201503,Arizona,56.3,2.8
665,201504,Arizona,58.4,-1.0
666,201505,Arizona,62.9,-2.4
667,201506,Arizona,78.4,0.4
668,201507,Arizona,78.6,-2.6
669,201508,Arizona,80.6,1.0
670,201509,Arizona,75.0,1.1
671,201510,Arizona,64.5,1.6
672,201511,Arizona,48.3,-3.2
673,201512,Arizona,40.9,-2.3
674,201601,Arizona,41.8,-1.6
675,201602,Arizona,50.6,4.3
676,201603,Arizona,54.9,1.4
677,201604,Arizona,58.5,-0.9
678,201605,Arizona,64.6,-0.7
679,201606,Arizona,80.3,2.3
680,201607,Arizona,82.4,1.2
681,201608,Arizona,77.5,-2.1
682,201609,Arizona,71.6,-2.3
683,201610,Arizona,66.1,3.2
684,201611,Arizona,53.1,1.6
685,201612,Arizona,44.7,1.5
686,201701,Arizona,42.3,-1.1
687,201702,Arizona,49.4,3.1
688,201703,Arizona,56.6,3.1
689,201704,Arizona,59.9,0.5
690,201705,Arizona,66.1,0.8
691,201706,Arizona,79.8,1.8
692,201707,Arizona,81.5,0.3
693,201708,Arizona,79.1,-0.5
694,201709,Arizona,72.4,-1.5
